timestamp,sequence,digit_moves,indicators
2025-01-26 06:14:18.086,1,Down,NEUTRAL
2025-01-26 06:14:11.557,6,Down,NEUTRAL
2025-01-26 06:14:12.557,8,Up,NEUTRAL
2025-01-26 06:14:13.557,9,Up,NEUTRAL
2025-01-26 06:14:14.557,3,Down,NEUTRAL
2025-01-26 06:14:15.557,4,Up,NEUTRAL
2025-01-26 06:14:16.557,8,Up,NEUTRAL
2025-01-26 06:14:17.557,2,Up,NEUTRAL
2025-01-26 06:14:18.557,0,Down,NEUTRAL
2025-01-26 06:14:19.557,2,Up,NEUTRAL
2025-01-26 06:14:20.557,2,Up,NEUTRAL
2025-01-26 06:14:21.557,0,Up,NEUTRAL
2025-01-26 06:14:22.557,2,Up,NEUTRAL
2025-01-26 06:14:23.557,3,Up,NEUTRAL
2025-01-26 06:14:24.557,1,Down,NEUTRAL
2025-01-26 06:14:25.557,7,Down,NEUTRAL
2025-01-26 06:14:26.557,4,Down,NEUTRAL
2025-01-26 06:14:27.557,2,Down,NEUTRAL
2025-01-26 06:14:28.557,7,Up,NEUTRAL
2025-01-26 06:14:29.557,6,Down,NEUTRAL
2025-01-26 06:14:30.557,7,Up,NEUTRAL
2025-01-26 06:14:24.017,2,Up,NEUTRAL
2025-01-26 06:14:25.017,0,Down,NEUTRAL
2025-01-26 06:14:26.017,2,Up,NEUTRAL
2025-01-26 06:14:27.017,2,Up,NEUTRAL
2025-01-26 06:14:28.017,0,Up,NEUTRAL
2025-01-26 06:14:29.017,2,Up,NEUTRAL
2025-01-26 06:14:30.017,3,Up,NEUTRAL
2025-01-26 06:14:31.017,1,Down,NEUTRAL
2025-01-26 06:14:32.017,7,Down,NEUTRAL
2025-01-26 06:14:33.017,4,Down,NEUTRAL
2025-01-26 06:14:34.017,2,Down,NEUTRAL
2025-01-26 06:14:35.017,7,Up,NEUTRAL
2025-01-26 06:14:36.017,6,Down,NEUTRAL
2025-01-26 06:14:37.017,7,Up,NEUTRAL
2025-01-26 06:14:38.017,4,Up,NEUTRAL
2025-01-26 06:14:39.017,7,Down,NEUTRAL
2025-01-26 06:14:40.017,9,Down,NEUTRAL
2025-01-26 06:14:41.017,8,Up,NEUTRAL
2025-01-26 06:14:42.017,8,Up,NEUTRAL
2025-01-26 06:14:43.017,1,Up,NEUTRAL
2025-01-26 06:14:36.509,3,Down,NEUTRAL
2025-01-26 06:14:37.509,1,Down,NEUTRAL
2025-01-26 06:14:38.509,7,Down,NEUTRAL
2025-01-26 06:14:39.509,4,Down,NEUTRAL
2025-01-26 06:14:40.509,2,Down,NEUTRAL
2025-01-26 06:14:41.509,7,Up,NEUTRAL
2025-01-26 06:14:42.509,6,Down,NEUTRAL
2025-01-26 06:14:43.509,7,Up,NEUTRAL
2025-01-26 06:14:44.509,4,Up,NEUTRAL
2025-01-26 06:14:45.509,9,Down,NEUTRAL
2025-01-26 06:14:46.509,8,Up,NEUTRAL
2025-01-26 06:14:47.509,8,Up,NEUTRAL
2025-01-26 06:14:48.509,1,Up,NEUTRAL
2025-01-26 06:14:49.509,5,Down,NEUTRAL
2025-01-26 06:14:50.509,3,Up,NEUTRAL
2025-01-26 06:14:51.509,8,Down,NEUTRAL
2025-01-26 06:14:52.509,1,Down,NEUTRAL
2025-01-26 06:14:53.509,3,Down,NEUTRAL
2025-01-26 06:14:54.509,2,Down,NEUTRAL
2025-01-26 06:14:55.509,7,Down,NEUTRAL
2025-01-26 06:14:49.016,7,Down,NEUTRAL
2025-01-26 06:14:50.016,4,Up,NEUTRAL
2025-01-26 06:14:51.016,7,Down,NEUTRAL
2025-01-26 06:14:52.016,9,Down,NEUTRAL
2025-01-26 06:14:53.016,8,Up,NEUTRAL
2025-01-26 06:14:54.016,8,Up,NEUTRAL
2025-01-26 06:14:55.016,1,Up,NEUTRAL
2025-01-26 06:14:56.016,5,Down,NEUTRAL
2025-01-26 06:14:57.016,3,Up,NEUTRAL
2025-01-26 06:14:58.016,8,Down,NEUTRAL
2025-01-26 06:14:59.016,1,Down,NEUTRAL
2025-01-26 06:15:00.016,3,Down,NEUTRAL
2025-01-26 06:15:01.016,2,Down,NEUTRAL
2025-01-26 06:15:02.016,7,Down,NEUTRAL
2025-01-26 06:15:03.016,0,Down,NEUTRAL
2025-01-26 06:15:04.016,7,Up,NEUTRAL
2025-01-26 06:15:05.016,3,Up,NEUTRAL
2025-01-26 06:15:06.016,3,Up,NEUTRAL
2025-01-26 06:15:07.016,4,Up,NEUTRAL
2025-01-26 06:15:08.016,2,Up,NEUTRAL
2025-01-26 06:15:01.475,1,Down,NEUTRAL
2025-01-26 06:15:02.475,5,Down,NEUTRAL
2025-01-26 06:15:03.475,3,Up,NEUTRAL
2025-01-26 06:15:04.475,8,Down,NEUTRAL
2025-01-26 06:15:05.475,1,Down,NEUTRAL
2025-01-26 06:15:06.475,3,Down,NEUTRAL
2025-01-26 06:15:07.475,2,Down,NEUTRAL
2025-01-26 06:15:08.475,7,Down,NEUTRAL
2025-01-26 06:15:09.475,0,Down,NEUTRAL
2025-01-26 06:15:10.475,7,Up,NEUTRAL
2025-01-26 06:15:11.475,3,Up,NEUTRAL
2025-01-26 06:15:12.475,3,Up,NEUTRAL
2025-01-26 06:15:13.475,4,Up,NEUTRAL
2025-01-26 06:15:14.475,2,Up,NEUTRAL
2025-01-26 06:15:15.475,2,Down,NEUTRAL
2025-01-26 06:15:16.475,8,Down,NEUTRAL
2025-01-26 06:15:17.475,5,Up,NEUTRAL
2025-01-26 06:15:18.475,9,Up,NEUTRAL
2025-01-26 06:15:19.475,1,Down,NEUTRAL
2025-01-26 06:15:20.475,4,Up,NEUTRAL
2025-01-26 06:15:14.010,2,Down,NEUTRAL
2025-01-26 06:15:15.010,7,Down,NEUTRAL
2025-01-26 06:15:16.010,0,Down,NEUTRAL
2025-01-26 06:15:17.010,7,Up,NEUTRAL
2025-01-26 06:15:18.010,3,Up,NEUTRAL
2025-01-26 06:15:19.010,3,Up,NEUTRAL
2025-01-26 06:15:20.010,4,Up,NEUTRAL
2025-01-26 06:15:21.010,2,Up,NEUTRAL
2025-01-26 06:15:22.010,2,Down,NEUTRAL
2025-01-26 06:15:23.010,8,Down,NEUTRAL
2025-01-26 06:15:24.010,5,Up,NEUTRAL
2025-01-26 06:15:25.010,9,Up,NEUTRAL
2025-01-26 06:15:26.010,1,Down,NEUTRAL
2025-01-26 06:15:27.010,4,Up,NEUTRAL
2025-01-26 06:15:28.010,8,Down,NEUTRAL
2025-01-26 06:15:29.010,4,Down,NEUTRAL
2025-01-26 06:15:30.010,7,Up,NEUTRAL
2025-01-26 06:15:31.010,3,Up,NEUTRAL
2025-01-26 06:15:32.010,7,Down,NEUTRAL
2025-01-26 06:15:33.010,1,Up,NEUTRAL
2025-01-26 06:15:26.467,4,Up,NEUTRAL
2025-01-26 06:15:27.467,2,Up,NEUTRAL
2025-01-26 06:15:28.467,2,Down,NEUTRAL
2025-01-26 06:15:29.467,8,Down,NEUTRAL
2025-01-26 06:15:30.467,5,Up,NEUTRAL
2025-01-26 06:15:31.467,9,Up,NEUTRAL
2025-01-26 06:15:32.467,1,Down,NEUTRAL
2025-01-26 06:15:33.467,4,Up,NEUTRAL
2025-01-26 06:15:34.467,8,Down,NEUTRAL
2025-01-26 06:15:35.467,4,Down,NEUTRAL
2025-01-26 06:15:36.467,7,Up,NEUTRAL
2025-01-26 06:15:37.467,3,Up,NEUTRAL
2025-01-26 06:15:38.467,7,Down,NEUTRAL
2025-01-26 06:15:39.467,1,Up,NEUTRAL
2025-01-26 06:15:40.467,3,Up,NEUTRAL
2025-01-26 06:15:41.467,5,Down,NEUTRAL
2025-01-26 06:15:42.467,0,Down,NEUTRAL
2025-01-26 06:15:43.467,1,Down,NEUTRAL
2025-01-26 06:15:44.467,4,Down,NEUTRAL
2025-01-26 06:15:45.467,8,Down,NEUTRAL
2025-01-26 06:15:38.941,4,Down,NEUTRAL
2025-01-26 06:15:39.941,8,Down,NEUTRAL
2025-01-26 06:15:40.941,4,Up,NEUTRAL
2025-01-26 06:15:41.941,7,Up,NEUTRAL
2025-01-26 06:15:42.941,3,Down,NEUTRAL
2025-01-26 06:15:43.941,7,Up,NEUTRAL
2025-01-26 06:15:44.941,1,Up,NEUTRAL
2025-01-26 06:15:45.941,3,Down,NEUTRAL
2025-01-26 06:15:46.941,1,Up,NEUTRAL
2025-01-26 06:15:47.941,5,Down,NEUTRAL
2025-01-26 06:15:48.941,0,Down,NEUTRAL
2025-01-26 06:15:49.941,1,Down,NEUTRAL
2025-01-26 06:15:50.941,4,Down,NEUTRAL
2025-01-26 06:15:51.941,8,Down,NEUTRAL
2025-01-26 06:15:52.941,7,Up,NEUTRAL
2025-01-26 06:15:53.941,9,Up,NEUTRAL
2025-01-26 06:15:54.941,9,Down,NEUTRAL
2025-01-26 06:15:55.941,2,Up,NEUTRAL
2025-01-26 06:15:56.941,2,Down,NEUTRAL
2025-01-26 06:15:57.941,0,Up,NEUTRAL
2025-01-26 06:15:51.434,1,Up,NEUTRAL
2025-01-26 06:15:52.434,3,Down,NEUTRAL
2025-01-26 06:15:53.434,1,Up,NEUTRAL
2025-01-26 06:15:54.434,5,Down,NEUTRAL
2025-01-26 06:15:55.434,0,Down,NEUTRAL
2025-01-26 06:15:56.434,1,Down,NEUTRAL
2025-01-26 06:15:57.434,4,Down,NEUTRAL
2025-01-26 06:15:58.434,8,Down,NEUTRAL
2025-01-26 06:15:59.434,7,Up,NEUTRAL
2025-01-26 06:16:00.434,9,Up,NEUTRAL
2025-01-26 06:16:01.434,9,Down,NEUTRAL
2025-01-26 06:16:02.434,2,Up,NEUTRAL
2025-01-26 06:16:03.434,2,Down,NEUTRAL
2025-01-26 06:16:04.434,0,Up,NEUTRAL
2025-01-26 06:16:05.434,8,Down,NEUTRAL
2025-01-26 06:16:06.434,8,Down,NEUTRAL
2025-01-26 06:16:07.434,9,Down,NEUTRAL
2025-01-26 06:16:08.434,4,Down,NEUTRAL
2025-01-26 06:16:09.434,1,Up,NEUTRAL
2025-01-26 06:16:10.434,5,Down,NEUTRAL
2025-01-26 06:16:03.902,4,Down,NEUTRAL
2025-01-26 06:16:04.902,8,Down,NEUTRAL
2025-01-26 06:16:05.902,7,Up,NEUTRAL
2025-01-26 06:16:06.902,9,Up,NEUTRAL
2025-01-26 06:16:07.902,9,Down,NEUTRAL
2025-01-26 06:16:08.902,2,Up,NEUTRAL
2025-01-26 06:16:09.902,2,Down,NEUTRAL
